Sr_No,state,constituency,Hon'ble Members of Parliament,allocated_amount
497,Maharashtra,Constituency_497,MP_Name_497,49453960
498,Delhi,Constituency_498,MP_Name_498,29852798
499,Delhi,Constituency_499,MP_Name_499,43063714
500,Gujarat,Constituency_500,MP_Name_500,43448641
501,Tamil Nadu,Constituency_501,MP_Name_501,31080631
502,Tamil Nadu,Constituency_502,MP_Name_502,46782284
503,Tamil Nadu,Constituency_503,MP_Name_503,40793039
504,Tamil Nadu,Constituency_504,MP_Name_504,47496584
505,Tamil Nadu,Constituency_505,MP_Name_505,25837106
506,Maharashtra,Constituency_506,MP_Name_506,43643678
507,Karnataka,Constituency_507,MP_Name_507,41391286
508,Gujarat,Constituency_508,MP_Name_508,26811525
509,Maharashtra,Constituency_509,MP_Name_509,48852947
510,Delhi,Constituency_510,MP_Name_510,49223781
511,Uttar Pradesh,Constituency_511,MP_Name_511,48023769
512,Gujarat,Constituency_512,MP_Name_512,31588189
513,Delhi,Constituency_513,MP_Name_513,37674944
514,Karnataka,Constituency_514,MP_Name_514,47526142
515,Gujarat,Constituency_515,MP_Name_515,32090503
516,Delhi,Constituency_516,MP_Name_516,43990137
517,Gujarat,Constituency_517,MP_Name_517,22986729
518,Gujarat,Constituency_518,MP_Name_518,35948430
519,Delhi,Constituency_519,MP_Name_519,38985570
520,Maharashtra,Constituency_520,MP_Name_520,32177844
521,Maharashtra,Constituency_521,MP_Name_521,23583114
522,Gujarat,Constituency_522,MP_Name_522,30534290
523,Tamil Nadu,Constituency_523,MP_Name_523,41378752
524,Tamil Nadu,Constituency_524,MP_Name_524,48563550
525,Uttar Pradesh,Constituency_525,MP_Name_525,36004897
526,Karnataka,Constituency_526,MP_Name_526,24767229
527,Tamil Nadu,Constituency_527,MP_Name_527,31054781
528,Gujarat,Constituency_528,MP_Name_528,37211466
529,Karnataka,Constituency_529,MP_Name_529,37337945
530,Maharashtra,Constituency_530,MP_Name_530,33305996
531,Uttar Pradesh,Constituency_531,MP_Name_531,44140183
532,Tamil Nadu,Constituency_532,MP_Name_532,24000693
533,Karnataka,Constituency_533,MP_Name_533,21561646
534,Maharashtra,Constituency_534,MP_Name_534,24761997
535,Karnataka,Constituency_535,MP_Name_535,26870083
536,Karnataka,Constituency_536,MP_Name_536,40513563
537,Tamil Nadu,Constituency_537,MP_Name_537,29328028
538,Gujarat,Constituency_538,MP_Name_538,38859064
539,Gujarat,Constituency_539,MP_Name_539,34621176
540,Maharashtra,Constituency_540,MP_Name_540,35164947
541,Maharashtra,Constituency_541,MP_Name_541,36692140
542,Delhi,Constituency_542,MP_Name_542,38361441
543,Uttar Pradesh,Constituency_543,MP_Name_543,42258262
