Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
56970,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176459,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),27-Mar-25,MAKSUD AHMAD CONTRACTOR,Payment Success,132980
56971,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176452,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),27-Mar-25,MAKSUD AHMAD CONTRACTOR,Payment Success,132980
56972,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176454,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),27-Mar-25,MAKSUD AHMAD CONTRACTOR,Payment Success,132980
56973,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176540,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,42065
56974,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176524,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,41003
56975,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176525,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,43150
56976,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176526,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,42065
56977,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176527,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,42613
56978,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176543,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,41540
56979,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176544,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,43150
56980,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176542,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,42613
56981,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176541,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,41525
56982,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176454,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,42618
56983,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176455,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,42053
56984,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176450,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,42071
56985,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176451,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,41540
56986,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176459,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,43701
56987,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176452,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,42609
56988,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176492,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,41540
56989,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176486,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,43138
56990,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176487,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,42076
56991,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176456,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,43687
56992,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176457,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,43127
56993,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176458,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,42590
56994,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176523,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,43664
56995,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176491,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,41540
56996,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176495,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,42613
56997,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176489,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,42602
56998,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2024-2025/176490,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),25-Jul-25,MAKSUD AHMAD CONTRACTOR,Payment Success,42078
56999,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18404/2025-2026/222674,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),27-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,484508
57000,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214866,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57001,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214862,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57002,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214875,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57003,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214876,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57004,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214877,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57005,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214867,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57006,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214868,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57007,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214869,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57008,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214870,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57009,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214871,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57010,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214872,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57011,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214863,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57012,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214864,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57013,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214865,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57014,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215198,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57015,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215199,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57016,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215191,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57017,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215192,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57018,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215193,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57019,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215194,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57020,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215087,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57021,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214882,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57022,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214878,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57023,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214879,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57024,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214880,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57025,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214873,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57026,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214874,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57027,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215261,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57028,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215262,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57029,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215263,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57030,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215258,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57031,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215260,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57032,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215255,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57033,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215256,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57034,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215257,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57035,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215247,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57036,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215219,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57037,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215220,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57038,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215211,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57039,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215212,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57040,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215213,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57041,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215214,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57042,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215217,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57043,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215210,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57044,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215204,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57045,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215201,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57046,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215202,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57047,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215196,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57048,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215197,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),22-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57049,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18404/2024-2025/144126,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),27-Nov-25,MAKSUD AHMAD CONTRACTOR,Payment Success,305339
57050,Uttar Pradesh,Construction of bus-sheds or bus-stops,WS/MP18404/2025-2026/251764,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),03-Aug-26,MAKSUD AHMAD CONTRACTOR,Payment Success,211738
57051,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18404/2025-2026/222674,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),27-Oct-25,MAKSUD AHMAD CONTRACTOR,Payment Success,1441240
57052,Uttar Pradesh,Construction of bus-sheds or bus-stops,WS/MP18404/2025-2026/251764,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),04-Jul-26,MAKSUD AHMAD CONTRACTOR,Payment Success,574542
57053,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215208,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),06-Dec-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57054,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215205,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),06-Dec-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57055,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215206,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),06-Dec-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57056,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215207,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),06-Dec-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57057,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215200,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),06-Dec-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57058,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215203,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),06-Dec-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57059,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215259,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),06-Dec-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57060,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215250,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),06-Dec-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57061,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215218,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),06-Dec-25,MAKSUD AHMAD CONTRACTOR,Payment Success,26793
57062,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214874,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),03-Sep-25,MAKSUD AHMAD CONTRACTOR,Payment Success,80057
57063,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214873,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),03-Sep-25,MAKSUD AHMAD CONTRACTOR,Payment Success,80057
57064,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214875,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),03-Sep-25,MAKSUD AHMAD CONTRACTOR,Payment Success,80057
57065,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214876,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),03-Sep-25,MAKSUD AHMAD CONTRACTOR,Payment Success,80057
57066,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214877,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),03-Sep-25,MAKSUD AHMAD CONTRACTOR,Payment Success,80057
57067,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214867,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),03-Sep-25,MAKSUD AHMAD CONTRACTOR,Payment Success,80057
57068,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214878,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),03-Sep-25,MAKSUD AHMAD CONTRACTOR,Payment Success,80057
57069,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215195,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),03-Sep-25,MAKSUD AHMAD CONTRACTOR,Payment Success,80057
57070,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215115,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),03-Sep-25,MAKSUD AHMAD CONTRACTOR,Payment Success,80057
57071,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215087,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),03-Sep-25,MAKSUD AHMAD CONTRACTOR,Payment Success,80057
57072,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/214882,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),03-Sep-25,MAKSUD AHMAD CONTRACTOR,Payment Success,80057
57073,Uttar Pradesh,Lighting of public spaces,WS/MP18404/2025-2026/215202,BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA),CHANDRA SHEKHAR,NAGINA(SC),03-Sep-25,MAKSUD AHMAD CONTRACTOR,Payment Success,80057
