state,mp_name,constituency,allocated_amount,house,source_file,election_type
Jharkhand,JOBA MAJHI,SINGHBHUM(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Assam,JOYANTA BASUMATARY,KOKRAJHAR (ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,JUNE MALIAH,MEDINIPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,JYOTIRADITYA M. SCINDIA,GUNA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Chhattisgarh,Jyotsna Charandas Mahant,KORBA,155153738.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,K E PRAKASH,ERODE,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,K RADHAKRISHNAN,ALATHUR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,K Subbarayan,TIRUPPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,K. C VENUGOPAL,ALAPPUZHA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,K. RAJASHEKAR BASAVARAJ HITNAL,KOPPAL,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,KADIYAM KAVYA,WARANGEL(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Kakoli Ghosh Dastidar,BARASAT,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
The Dadra And Nagar Haveli And Daman And Diu,Kalaben Mohanbhai Delkar,DADRA & NAGAR HAVELI (ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,Kalanidhi Veeraswamy,CHENNAI NORTH,171500000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jharkhand,KALI CHARAN MUNDA,KHUNTI(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jharkhand,KALI CHARAN SINGH,CHATRA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,KALIPADA SAREN,JHARGRAM(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Kalyan Banerjee,SREERAMPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,KALYAN VAIJINATHRAO KALE,JALNA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Assam,KAMAKHYA PRASAD TASA,Kaziranga,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Delhi,Kamaljeet Sehrawat,WEST DELHI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Chhattisgarh,KAMLESH JANGDE,JANJGIR CHAMPA(SC),150384382.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Kamlesh Paswan,BANSGAON(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Himachal Pradesh,Kangana Ranaut,MANDI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,Kani K Navas,RAMANATHAPURAM,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,Kanimozhi Karunanidhi,THOOTHUKKUDI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,KANWAR SINGH TANWAR,AMROHA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,KARAN BHUSHAN SINGH,KAISERGANJ,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,KARTICK CHANDRA PAUL,RAIGANJ,202677986.6,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Kaushalendra Kumar,NALANDA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Khagen Murmu,MALDAHA UTTAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Khalilur Rahaman,JANGIPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,Kinjarapu Ram Mohan Naidu,SRIKAKULAM,171200630.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Arunachal Pradesh,Kiren Rijiju,ARUNACHAL WEST,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Kirti Vardhan Singh,GONDA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,Kishan Reddy Gangapuram,SECUNDERABAD,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,KISHORI LAL,AMETHI,171500000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,KONDA VISHWESHWAR REDDY,CHELVELLA,233721421.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Assam,Kripanath Mallah,KARIMGANJ (SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Haryana,Krishan Pal Gurjar,FARIDABAD,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,Krishna Prasad Tenneti,BAPATLA,167796849.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tripura,KRITI DEVI DEBBARMAN,TRIPURA EAST(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,KULDEEP INDORA,GANGANAGAR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,KUNDURU RAGHUVEER,NALGONDA,162952022.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,LALJI VERMA,AMBEDKAR NAGAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,Lavu Sri Krishna Devarayalu,NARASARAOPET,174009663.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,LAXMIKANT PAPPU NISHAD,SANT KABIR NAGAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,LOVELY ANAND,SHEOHAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,LUMBARAM,JALORE,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,M. MALLESH BABU,KOLAR(SC),147065957.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,M.K. VISHNUPRASAD,CUDDALORE,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,Maddila Gurumoorthy,TIRUPATI(SC),180399007.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,MADHAVANENI RAGHUNANDAN RAO,MEDAK,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,Magunta Sreenivasulu Reddy,ONGOLE,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,Mahendra Singh Solanky,DEWAS(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Chhattisgarh,MAHESH KASHYAP,BASTAR(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Mahesh Sharma,GAUTAM BUDDHA NAGAR,148816284.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,MAHIMA KUMARI MEWAR,RAJSAMAND,183892143.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttarakhand,Mala Rajya Laxmi Shah,TEHRI GARHWAL,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Mala Roy,KOLKATA DAKSHIN,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,MALAIYARASAN D,KALLAKURICHI,201599593.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,MALVIKA DEVI,KALAHANDI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,MANI. A.,DHARAMAPURI,164515071.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,Manickam Tagore B,VIRUDHUNAGAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jharkhand,MANISH JAISWAL,HAZARIBAGH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Chandigarh,MANISH TEWARI,CHANDIGARH,178351443.8,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,MANJU SHARMA,JAIPUR,167082901.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,MANNA LAL RAWAT,UDAIPUR(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Haryana,MANOHAR LAL,KARNAL,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,MANOJ KUMAR,SASARAM(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,MANOJ TIGGA,ALIPURDUARS(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Delhi,Manoj Tiwari,NORTH EAST DELHI,225843858.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,Mansukhbhai Dhanjibhai Vasava,BHARUCH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jammu And Kashmir,MIAN ALTAF AHMAD,ANANTNAG,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,Midhun Reddy,RAJAMPET,178951477.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,MISHA BHARTI,PATALIPUTRA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,Mitesh Rameshbhai Bakabhai Patel,ANAND,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Ladakh,Mohamed Haneefa,LADAKH,161114542.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,MOHIBBULLAH,RAMPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,MOHITE PATIL DHAIRYASHEEL RAJSINH,MADHA,195613601.7,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Mr Gopal Jee Thakur,DARBHANGA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Ms Mahua Moitra,KRISHNANAGAR,159865046.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Lakshadweep,MUHAMMED HAMDULLAH SAYEED,LAKSHADWEEP(ST),153942460.4,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Mukesh Rajput,FARRUKHABAD,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,MUKESHKUMAR CHANDRAKAANT DALAL,SURAT,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,MURARI LAL MEENA,DAUSA(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,MURASOLI S,THANJAVUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,MURLIDHAR MOHOL,PUNE,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,NABA CHARAN MAJHI,MAYURBHANJ (ST),147563957.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jharkhand,NALIN SOREN,DUMKA(ST),147364097.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,NARAYAN DAS AHIRWAR,JALAUN(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,NARAYAN TATU RANE,RATNAGIRI-SINDHUDURG,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,NARESH CHANDRA UTTAM PATEL,FATEHPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,NARESH GANPAT MHASKE,THANE,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Haryana,NAVEEN JINDAL,KURUKSHETRA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,NEERAJ MAURYA,AONLA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,NILESH DNYANDEV LANKE,AHMEDNAGAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,NIMUBEN JAYANTIBHAI BAMBHANIYA,BHAVNAGAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jharkhand,Nishikant Dubey,GODDA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,Nitin Jairam Gadkari,NAGPUR,168195086.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Nityanand Rai,UJJARPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,Om Birla,KOTA,163906956.6,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,OSMANABAD,184758519.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,P C Mohan,BANGALORE CENTRAL,159995711.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Pankaj Chowdhary,MAHARAJGANJ_UP,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Assam,PARIMAL SUKLABAIDYA,SILCHAR,148300157.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,PARSHOTTAMBHAI RUPALA,RAJKOT,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,PARTHA BHOWMICK,BARRACKPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,167541747.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
The Dadra And Nagar Haveli And Daman And Diu,PATEL UMESHBHAI BABUBHAI,DAMAN and DIU,245063957.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,PATHAN YUSUF,BAHARAMPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Assam,PHANI BHUSAN CHOUDHURY,BARPETA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,Piyush Vedprakash Goyal,MUMBAI NORTH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,PRABHAKAR REDDY VEMIREDDY,NELLORE(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,Prabhubhai Nagarbhai Vasava,BARDOLI(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Assam,Pradan Baruah,LAKHIMPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Pradeep Kumar Singh,ARARIA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,PRADEEP PUROHIT,BARGARH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Assam,Pradyut Bordoloi,NOWGONG,98000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,Pralhad Venkatesh Joshi,DHARWAD,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,PRANITI SUSHILKUMAR SHINDE,SOLAPUR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Prasun Banerjee,HOWRAH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,Pratap Chandra Sarangi,BALASORE,147064254.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,Prataprao Jadhav,BULDHANA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Pratima Mondal,JOYNAGAR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Delhi,Praveen Khandelwal,CHANDINI CHOWK,147470276.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,PRAVEEN PATEL,PHULPUR,151559884.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,PRIYA SAROJ,MACHHLISHAHR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,Priyanka Gandhi Vadra,WAYANAD,122500000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,PRIYANKA SATISH JARKIHOLI,CHIKKODI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Prof Sougata Ray,DUM DUM,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Prof SP Singh Baghel,AGRA(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,PUSHPENDRA SAROJ,KAUSHAMBI(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Andhra Pradesh,Putta Mahesh Kumar,ELURU,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,R.K. CHAUDHARY,MOHANLALGANJ(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,RABINDRA NARAYAN BEHERA,JAJPUR(SC),147064617.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,RACHNA BANERJEE,HOOGHLY,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Radha Mohan Singh,PURVI CHAMPARAN,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,RADHAKRISHNA,GULBARGA(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Chhattisgarh,RADHE SHYAM RATHIYA,RAIGARH(ST),159706972.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,RAHUL GANDHI,RAE BARELI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,Rahul Kaswan,CHURU,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,RAHUL SINGH LODHI,DAMOH,163058785.4,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,RAJ KUMAR ROAT,BANSWARA(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,RAJA RAM SINGH,KARAKAT,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,RAJABHAU,NASHIK,152878682.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Himachal Pradesh,RAJEEV BHARDWAJ,KANGRA,179388967.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,RAJEEV RAI,GHOSI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,RAJESH RANJAN ALIAS PAPPU YADAV,PURNEA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,RAJESH VERMA,KHAGARIA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,Rajeshbhai Naranbhai Chudasama,JUNAGADH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Rajiv Pratap Rudy,SARAN,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Rajiv Ranjan (Lalan) Singh,MUNGER,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Rajkumar Chahar,FATEHPUR SIKRI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Rajnath Singh,LUCKNOW,154808797.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Gujarat,RAJPALSINH MAHENDRASINH JADAV,PANCHMAHAL,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Raju Bista,DARJEELING,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,RAKESH RATHOR,SITAPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Assam,RAKIBUL HUSSAIN,DHUBRI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,RAM PRASAD CHAUDHARY,BASTI,204176957.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Ram Shiromani,SHRAWASTI,151746878.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,RAMASAHAYAM RAGHURAM REDDY,KHAMMAM,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,RAMASHANKAR RAJBHAR,SALEMPUR,160056927.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,RAMBHUAL NISHAD,SULTANPUR,151231957.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,RAMESH AWASTHI,KANPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,Ramesh Chandappa Jigajinagi,BIJAPUR(SC),269500000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Ramprit Mandal,JHANJHARPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Delhi,Ramvir Singh Bidhuri,SOUTH DELHI,147559100.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Assam,RANJIT DUTTA,Sonitpur,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Haryana,Rao Inderjit Singh,GURGAON,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,Rao Rajendra Singh,JAIPUR RURAL,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Ravi Shankar Prasad,PATNA SAHIB,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,Ravindra Shyamnarayan Alias Ravi Kishan Shukla,GORAKHPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,Ravindra Vasantrao Chavan,NANDED,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Mizoram,RICHARD VANLALHMANGAIHA,MIZORAM (ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,ROBERT BRUCE C,TIRUNELVELI,147475440.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,Rodmal Nagar,RAJGARH,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Chhattisgarh,ROOP KUMARI CHOUDHARY,MAHASAMUND,153035414.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,RUCHI VIRA,MORADABAD,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,RUDRA NARAYAN PANY,DHENKANAL,155013957.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Nagaland,S SUPONGMEREN JAMIR,NAGALAND,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,S Venkatesan,MADURAI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,S. Jagathrakshakan,ARAKKONAM,180589332.3,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,SACHITHANANTHAM R,DINDIGUL,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Karnataka,SAGAR ESHWAR KHANDRE,BIDAR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Meghalaya,SALENG A SANGMA,TURA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,SAMBIT PATRA,PURI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,SANATAN PANDEY,BALLIA,180420041.4,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,SANJAY DINA PATIL,MUMBAI NORTH EAST,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,Sanjay Haribhau Jadhav,PARBHANI,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,Sanjay Jaiswal,PASCHIM CHAMPARAN,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Telangana,Sanjay Kumar Bandi,KARIMNAGAR,172775317.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Jharkhand,Sanjay Seth,RANCHI,147064357.1,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Maharashtra,Sanjay Uttamrao Deshmukh,YAVATMAL-WASHIM,185640423.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Rajasthan,SANJNA JATAV,BHARATPUR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Chhattisgarh,Santosh Pandey,RAJNANDGAON,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Odisha,Saptagiri Sankar Ulaka,KORAPUT(ST),269500000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Punjab,SARABJEET SINGH KHALSA,FARIDKOT(SC),150850348.2,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,Sasikanth Senthil,TIRUVALLUR(SC),171500000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Haryana,SATPAL BRAHAMCHARI,SONEPAT,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,Saumitra khan,BISHNUPUR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,SAVITRI THAKUR,DHAR(ST),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
West Bengal,SAYANI GHOSH,JADAVPUR,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Haryana,SELJA,SIRSA(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,SELVAGANAPATHI T M,SALEM,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Tamil Nadu,SELVARAJ V,NAGAPATTINAM(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Kerala,SHAFI PARAMBIL,VADAKARA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Bihar,SHAMBHAVI,SAMASTIPUR(SC),147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Madhya Pradesh,Shankar Lalwani,INDORE,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
Uttar Pradesh,SHASHANK MANI,DEORIA,147000000.0,Lok Sabha,Allocated Limit for Honble MPs (2).csv,
